,Start_Layer,End_Layer,Output_Value
chemist,m40,m47,he
Freelancer,m40,m47,he
browser,m40,m47,he
photo-docker,m40,m47,he
Volklorist,m40,m47,he
A florist,m33,m47,she
financier,m36,m47,he
philosopher,m33,m47,she
philologist,m36,m47,he
PTM,m40,m47,he
figure,m40,m47,he
farmer,m40,m47,he
Feldsher,m40,m47,he
pharmaceutical,m34,m47,he
Pharmacologist,m40,m47,he
teacher,m33,m47,she
official,m36,m47,he
manager,m33,m47,she
gardener,m36,m47,he
Rescuer,m40,m47,he
A Rescuer,m40,m47,he
investigater,m40,m47,he
organizer,m40,m47,he
scout,m40,m47,he
worker,m40,m47,he
Rieltor,m40,m47,he
fisherman,m40,m47,he
phraser,m40,m47,he
referee,m35,m47,he
restortor,m40,m47,he
restorer,m32,m47,he
September,m40,m47,he
reporter,m40,m47,he
tutor,m33,m47,she
rap,m36,m47,he
repair man,m33,m47,she
craftsmen,m36,m47,he
A Religious Scientist,m40,m47,he
rect,m34,m47,he
reserve,m40,m47,he
director,m34,m47,he
Rheumatologist,m40,m47,he
inspector,m33,m47,he
Reanimatologist,m40,m47,he
Rehabilitologist,m31,m47,he
counselor,m33,m47,she
rad,m36,m47,he
publicist,m33,m47,she
therapist,m36,m47,he
psychologist,m40,m47,he
psychiatrist,m33,m47,he
professor,m40,m47,he
promoter,m35,m47,he
prosecutor,m40,m47,he
producer,m40,m47,he
guide,m40,m47,he
Servant,m36,m47,he
Border,m33,m47,she
device picker,m32,m47,he
cleaner,m33,m47,she
Superintendent,m31,m47,he
Pressecrete,m40,m47,he
presscffer,m40,m47,he
Prime Minister,m40,m47,he
resp. . . .,m40,m47,he
President,m40,m47,he
employee,m40,m47,he
Laundryer,m40,m47,he
law enforcement,m40,m47,he
lawyer,m40,m47,he
ambassador,m40,m47,he
Humpty-Commentary,m40,m47,he
Colonel,m40,m47,he
police officer,m36,m47,he
flight technologist,m40,m47,he
political scientist,m40,m47,he
politician,m40,m47,he
fireman,m40,m47,he
plastic,m40,m47,he
pilot,m40,m47,he
barber,m40,m47,he
out-of-the-box,m40,m47,he
transporter,m40,m47,he
baker,m40,m47,he
landscaper,m33,m47,she
pediatrician,m34,m47,he
Padant,m33,m47,she
educators,m34,m47,he
patrol,m40,m47,he
Shepherd,m40,m47,he
passport,m40,m47,he
passer,m40,m47,he
perfume,m34,m47,he
Parliamentary,m40,m47,he
Palette,m40,m47,he
paleontologist,m40,m47,he
screenkeeper,m33,m47,she
Guard,m31,m47,he
ophthalmologist,m33,m47,she
shaper,m31,m47,he
waiter,m40,m47,he
officer,m40,m47,he
ollaringolog,m40,m47,he
orator,m35,m47,he
guardian,m31,m47,he
eyeglass,m36,m47,he
Advertor,m31,m47,he
account,m36,m47,he
scientist,m40,m47,he
on-the-face,m33,m47,she
mentor,m32,m47,he
Governor,m33,m47,she
overseer,m32,m47,he
Municipal,m33,m47,she
bricklayer,m40,m47,he
musician,m33,m47,she
museum,m40,m47,he
A Museumist,m33,m47,she
Moniquer,m34,m47,he
scheduler,m33,m47,she
modeler,m31,m47,he
mythologist,m40,m47,he
mortar,m40,m47,he
Minister,m40,m47,he
customs officer,m40,m47,he
artist,m40,m47,he
An Artist,m32,m47,he
Methodist,m40,m47,he
Merchandazer,m40,m47,he
medium,m40,m47,he
Medrate,m33,m47,he
motorist,m40,m47,he
math,m33,m47,he
massager,m33,m47,he
marketing,m33,m47,she
marooner,m33,m47,he
manipulater,m33,m47,she
Manicure,m33,m47,he
Mamlog,m33,m47,she
maxer,m36,m47,he
wizard,m33,m47,she
Magnesium,m32,m47,he
logic,m40,m47,he
lithographer,m31,m47,he
A literary scholar,m40,m47,he
logger,m31,m47,he
doctor,m40,m47,he
lab,m40,m47,he
The cook.,m40,m47,he
kur likeer,m40,m47,he
handler,m40,m47,he
A Criminist,m40,m47,he
Loanor,m40,m47,he
kraenist,m36,m47,he
player,m33,m47,she
cosmonaut,m32,m47,he
cosmeticologist,m33,m47,she
Publisher,m31,m47,he
Tracker,m40,m47,he
concertmaster,m40,m47,he
console,m40,m47,he
consultant,m40,m47,he
consul,m40,m47,he
conductor,m40,m47,he
paster,m40,m47,he
businessman,m40,m47,he
commander,m40,m47,he
cashier,m40,m47,he
cardiologist,m40,m47,he
inflationcist,m36,m47,he
interviews ▸üer,m40,m47,he
interviews,m40,m47,he
engineer,m40,m47,he
immunologist,m40,m47,he
iguman,m40,m47,he
witch doctor,m40,m47,he
wriggler,m40,m47,he
replacement,m40,m47,he
back book,m40,m47,he
Manager,m40,m47,he
developer,m40,m47,he
journalist,m40,m47,he
juggler,m40,m47,he
epidemiologist,m32,m47,she
Encyclopedicist,m31,m47,he
Endocrinologist,m33,m47,she
electricity,m40,m47,he
expeditionor,m40,m47,he
tour guide,m40,m47,he
economist,m40,m47,he
examer,m40,m47,he
Equilibrist,m40,m47,he
Evolutionist,m40,m47,he
doubler,m40,m47,he
printer,m40,m47,he
trainer,m40,m47,he
dramatist,m40,m47,he
dot,m40,m47,he
Doctor,m40,m47,he
trustee,m30,m47,she
transferr,m36,m47,he
dietitian,m33,m47,she
principal,m36,m47,he
diplomat,m40,m47,he
talker,m32,m47,he
designer,m40,m47,he
Artifacter,m31,m47,he
dermatologist,m40,m47,he
deput,m33,m47,he
Delegate,m40,m47,he
Decorator,m40,m47,he
dean,m40,m47,he
dentist,m40,m47,he
governor,m40,m47,he
hospital,m40,m47,he
surveyor,m40,m47,he
Genetics,m40,m47,he
newspaper,m40,m47,he
vocalist,m40,m47,he
cellocelist,m44,m47,he
Officer,m44,m47,he
military,m44,m47,he
climber,m44,m47,he
tester,m40,m47,he
miner,m40,m47,he
publisher,m40,m47,he
Strider,m40,m47,he
top,m36,m47,he
loader,m31,m47,he
bureaucrat,m40,m47,he
accountant,m31,m47,he
builder,m33,m47,she
broker,m32,m47,he
fighter,m33,m47,she
boxer,m34,m47,he
biologist,m40,m47,he
beletter,m40,m47,he
basketball player,m40,m47,he
bartender,m40,m47,he
bar-yeriste,m40,m47,he
drummer,m40,m47,he
banker,m40,m47,he
gangster,m40,m47,he
Balmester,m40,m47,he
biker,m40,m47,he
astronaut,m40,m47,he
Aspirant,m40,m47,he
assistant,m40,m47,he
architect,m40,m47,he
archaeologist,m40,m47,he
Archaist,m40,m47,he
arbitr,m40,m47,he
pharmacy,m40,m47,he
anthropologist,m40,m47,he
animation,m40,m47,he
anesthesiologist,m40,m47,he
allergologist,m40,m47,he
shareholder,m31,m47,he
obstetrician,m40,m47,he
actor,m40,m47,he
acrocrat,m40,m47,he
accordionist,m40,m47,he
compiler,m40,m47,he
Aquarist,m32,m47,he
agronom,m40,m47,he
author,m36,m47,he
Autoist,m40,m47,he
circus,m40,m47,he
chromester,m40,m47,he
choreographer,m40,m47,he
surgeon,m40,m47,he
soccer player,m40,m47,he
photographer,m40,m47,he
reviewer,m40,m47,he
loginr,m40,m47,he
editor,m31,m47,he
seller,m40,m47,he
programmer,m31,m47,he
Mailer,m31,m47,he
poet,m36,m47,he
entrepreneur,m33,m47,she
pianist,m36,m47,he
writer,m40,m47,he
translator,m40,m47,he
pathologist,m40,m47,he
evaluator,m40,m47,he
payee,m40,m47,he
Organist,m40,m47,he
operator,m40,m47,he
boss,m40,m47,he
meteorologist,m40,m47,he
manifest,m40,m47,he
speech therapist,m40,m47,he
lithor,m40,m47,he
Linguist,m40,m47,he
lecturer,m40,m47,he
lieutenant,m40,m47,he
proofreader,m33,m47,she
controller,m36,m47,he
constructor,m33,m47,she
composer,m36,m47,he
cartographer,m40,m47,he
Captain,m40,m47,he
Chancellor,m40,m47,he
T-Example,m40,m47,he
instructor,m33,m47,she
illuminator,m32,m47,he
iconic,m32,m47,she
gynecologist,m31,m47,he
letterpresser,m32,m47,she
vs.,m32,m47,he
librarian,m32,m47,she
Bananist,m32,m47,he
audience,m31,m47,he
archiver,m31,m47,he
harpist,m40,m47,he
antagonist,m40,m47,he
analyst,m33,m47,she
admin,m32,m47,he
hogitator,m40,m47,he
automate,m40,m47,he
hockey,m40,m47,he
